"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"23 Jan 2019";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"VEON";"BMG9349W1038";"VEON";"Euronext Amsterdam";"EUR";"2.50";"2.50";"2.32";"2.32";"22/01/2019 17:35";"CET";"20510";"47664.46"
"VERGNET";"FR0004155240";"ALVER";"Euronext Growth Paris";"EUR";"0.2425";"0.2425";"0.237";"0.237";"22/01/2019 17:13";"CET";"117194";"27967.54"
"VERGNET BSA";"FR0013328689";"VERBS";"Euronext Growth Paris";"EUR";"0.0162";"0.0162";"0.0162";"0.0162";"22/01/2019 17:11";"CET";"121";"1.96"
"VERIZON COMM.";"US92343V1044";"VERIZ";"Traded not listed Brussels";"USD";"34.91";"34.91";"34.91";"34.91";"05/03/2012 16:30";"CET";"328";"11450.48"
"VERNEUIL FINANCE";"FR0000062465";"VRNL";"Euronext Paris";"EUR";"1.89";"1.89";"1.89";"1.89";"21/12/2018 16:31";"CET";"275";"519.75"
"VERNEY CARRON";"FR0006174496";"MLVER";"Euronext Access Paris";"EUR";"12.40";"12.40";"12.40";"12.40";"15/01/2019 16:30";"CET";"12";"148.80"
"VETOQUINOL";"FR0004186856";"VETO";"Euronext Paris";"EUR";"49.00";"49.20";"48.20";"49.00";"22/01/2019 17:35";"CET";"1768";"86593.40"
"VGP";"BE0003878957";"VGP";"Euronext Brussels";"EUR";"63.20";"64.20";"63.00";"63.40";"22/01/2019 17:35";"CET";"3051";"194051.40"
"VIALIFE";"FR0010326090";"ALVIA";"Euronext Growth Paris";"EUR";"20.00";"20.00";"20.00";"20.00";"24/12/2018 11:30";"CET";"1";"20.00"
"VICAT";"FR0000031775";"VCT";"Euronext Paris";"EUR";"44.74";"44.74";"43.90";"44.30";"22/01/2019 17:35";"CET";"23094";"1025174.54"
"VIDELIO";"FR0000066680";"VDLO";"Euronext Paris";"EUR";"1.89";"1.89";"1.85";"1.85";"22/01/2019 17:35";"CET";"1905";"3552.68"
"VIEL ET COMPAGNIE";"FR0000050049";"VIL";"Euronext Paris";"EUR";"4.75";"4.92";"4.75";"4.75";"22/01/2019 17:35";"CET";"1408";"6716.10"
"VIKTORIA INVEST";"FR0000035719";"VI";"Euronext Paris";"EUR";"2.82";"2.82";"2.82";"2.82";"21/01/2019 11:30";"CET";"122";"344.04"
"VILMORIN & CIE";"FR0000052516";"RIN";"Euronext Paris";"EUR";"56.00";"58.40";"56.00";"57.80";"22/01/2019 17:35";"CET";"8173";"468407.60"
"VINCI";"FR0000125486";"DG";"Euronext Paris";"EUR";"74.68";"74.90";"74.50";"74.64";"22/01/2019 17:35";"CET";"842548";"62906128.26"
"VIOHALCO";"BE0974271034";"VIO";"Euronext Brussels";"EUR";"2.60";"2.66";"2.535";"2.66";"22/01/2019 16:43";"CET";"10334";"26931.58"
"VIRBAC";"FR0000031577";"VIRP";"Euronext Paris";"EUR";"116.40";"117.60";"115.00";"117.40";"22/01/2019 17:35";"CET";"5222";"609159.00"
"VISIATIV";"FR0004029478";"ALVIV";"Euronext Growth Paris";"EUR";"22.60";"23.20";"22.00";"22.65";"22/01/2019 17:35";"CET";"13637";"308106.50"
"VISIO NERF";"FR0010033480";"MLVIS";"Euronext Access Paris";"EUR";"1.62";"1.62";"1.62";"1.62";"22/01/2019 11:30";"CET";"510";"826.20"
"VISIODENT";"FR0000065765";"SDT";"Euronext Paris";"EUR";"2.40";"2.40";"2.40";"2.40";"22/01/2019 16:31";"CET";"500";"1200.00"
"VISIOMED BSA18T2.3";"FR0013365277";"VMGBW";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VISIOMED BSA18T2.4";"FR0013372471";"VMGBX";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VISIOMED BSA2018-1";"FR0013322724";"VMGBS";"Euronext Growth Paris";"EUR";"0.0077";"0.0077";"0.0077";"0.0077";"22/01/2019 09:00";"CET";"187";"1.44"
"VISIOMED BSA2018-2";"FR0013352317";"VMGBU";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VISIOMED BSA2018-3";"FR0013356441";"VMGBV";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VISIOMED GROUP";"FR0011067669";"ALVMG";"Euronext Growth Paris";"EUR";"0.0538";"0.0666";"0.0537";"0.0617";"22/01/2019 17:35";"CET";"42503794";"2584976.82"
"VISIOMEDBSA26OCT23";"FR0013321817";"VMGBT";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VIVENDI";"FR0000127771";"VIV";"Euronext Paris";"EUR";"21.68";"21.86";"21.64";"21.73";"22/01/2019 17:36";"CET";"1912219";"41563733.74"
"VIVENDI NV19";"FR0013384070";"VIVNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VOGO";"FR0011532225";"ALVGO";"Euronext Growth Paris";"EUR";"10.85";"10.90";"10.85";"10.90";"22/01/2019 10:31";"CET";"51";"555.85"
"VOLKERWESSELS";"NL0012294466";"KVW";"Euronext Amsterdam";"EUR";"14.60";"14.82";"14.58";"14.69";"22/01/2019 17:35";"CET";"58897";"865618.35"
"VOLKSWAGEN";"DE0007664005";"VWA";"Traded not listed Brussels";"EUR";"145.30";"145.30";"144.60";"144.60";"22/01/2019 14:56";"CET";"199";"28882.40"
"VOLKSWAGEN PREF";"DE0007664039";"VWAP";"Traded not listed Brussels";"EUR";"140.98";"140.98";"140.98";"140.98";"28/12/2018 16:19";"CET";"4";"563.92"
"VOLTA FINANCE";"GG00B1GHHH78";"VTA";"Euronext Amsterdam";"EUR";"6.70";"6.72";"6.66";"6.72";"22/01/2019 16:59";"CET";"6400";"42873.12"
"VOLTALIA";"FR0011995588";"VLTSA";"Euronext Paris";"EUR";"9.56";"9.60";"9.45";"9.50";"22/01/2019 16:15";"CET";"9862";"93789.44"
"VOLUNTIS";"FR0004183960";"VTX";"Euronext Paris";"EUR";"5.019";"5.02";"5.019";"5.02";"22/01/2019 16:50";"CET";"710";"3564.20"
"VOPAK";"NL0009432491";"VPK";"Euronext Amsterdam";"EUR";"43.77";"44.58";"43.52";"43.63";"22/01/2019 17:35";"CET";"320814";"14122813.18"
"VOYAGEURS DU MONDE";"FR0004045847";"ALVDM";"Euronext Growth Paris";"EUR";"125.00";"125.00";"122.50";"122.50";"22/01/2019 17:35";"CET";"345";"42731.00"
"VRANKEN-POMMERY";"FR0000062796";"VRAP";"Euronext Paris, Brussels";"EUR";"23.80";"23.80";"23.50";"23.50";"22/01/2019 13:56";"CET";"1212";"28744.10"
"WALLIX";"FR0010131409";"ALLIX";"Euronext Growth Paris";"EUR";"13.30";"13.30";"12.95";"13.20";"22/01/2019 17:35";"CET";"3607";"47567.85"
"WAREHOUSES";"BE0003734481";"WEB";"Euronext Brussels";"EUR";"49.00";"50.00";"49.00";"49.00";"22/01/2019 16:09";"CET";"174";"8637.40"
"WAVESTONE";"FR0013357621";"WAVE";"Euronext Paris";"EUR";"25.60";"25.80";"25.55";"25.60";"22/01/2019 17:35";"CET";"6448";"165618.40"
"WDP";"BE0003763779";"WDP";"Euronext Brussels, Amsterdam";"EUR";"122.60";"123.40";"121.80";"121.80";"22/01/2019 17:35";"CET";"19314";"2366689.00"
"WE.CONNECT";"FR0013079092";"ALWEC";"Euronext Growth Paris";"EUR";"11.30";"11.30";"11.20";"11.20";"22/01/2019 15:56";"CET";"2";"22.50"
"WEACCESS GROUP";"FR0010688465";"MLWEA";"Euronext Access Paris";"EUR";"4.70";"5.00";"4.70";"5.00";"03/01/2019 16:30";"CET";"351";"1650.00"
"WEBORAMA";"FR0010337444";"ALWEB";"Euronext Growth Paris";"EUR";"7.35";"7.35";"7.35";"7.35";"22/01/2019 09:00";"CET";"1";"7.35"
"WEDIA";"FR0010688440";"ALWED";"Euronext Growth Paris";"EUR";"25.00";"25.90";"24.10";"25.90";"22/01/2019 16:13";"CET";"1096";"27325.30"
"WENDEL";"FR0000121204";"MF";"Euronext Paris";"EUR";"107.80";"108.10";"106.80";"107.50";"22/01/2019 17:35";"CET";"39831";"4279169.60"
"WERELDHAVE";"NL0000289213";"WHA";"Euronext Amsterdam";"EUR";"28.36";"28.54";"28.10";"28.22";"22/01/2019 17:35";"CET";"125808";"3557667.19"
"WERELDHAVE BELGIUM";"BE0003724383";"WEHB";"Euronext Brussels";"EUR";"79.40";"80.00";"79.20";"79.20";"22/01/2019 17:35";"CET";"1586";"126081.60"
"WESSANEN";"NL0000395317";"WES";"Euronext Amsterdam";"EUR";"9.00";"9.12";"8.90";"9.045";"22/01/2019 17:35";"CET";"76480";"690828.83"
"WEYA";"FR0010768770";"MLWEY";"Euronext Access Paris";"EUR";"2.34";"2.34";"2.34";"2.34";"08/01/2019 16:30";"CET";"5";"11.70"
"WITBE";"FR0013143872";"ALWIT";"Euronext Growth Paris";"EUR";"4.70";"4.90";"4.70";"4.89";"22/01/2019 17:35";"CET";"1561";"7403.06"
"WOL. EXTENS. CERT";"BE0003600112";"WOLE";"Euronext Brussels";"EUR";"85.00";"85.00";"85.00";"85.00";"21/01/2019 11:30";"CET";"10";"850.00"
"WOL. SHOPPING CERT";"BE0003571792";"WOLS";"Euronext Brussels";"EUR";"174.20";"174.20";"174.06";"174.06";"21/01/2019 16:30";"CET";"7";"1218.70"
"WOLTERS KLUWER";"NL0000395903";"WKL";"Euronext Amsterdam";"EUR";"53.86";"54.50";"53.70";"53.76";"22/01/2019 17:35";"CET";"501300";"27068114.54"
"WORDLINE NV19";"FR0013384666";"WLNNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"WORLDLINE";"FR0011981968";"WLN";"Euronext Paris";"EUR";"44.46";"46.00";"44.44";"46.00";"22/01/2019 17:35";"CET";"105612";"4806505.28"
"X-FAB";"BE0974310428";"XFAB";"Euronext Paris";"EUR";"5.16";"5.16";"4.875";"4.90";"22/01/2019 17:35";"CET";"40659";"203668.21"
"XILAM ANIMATION";"FR0004034072";"XIL";"Euronext Paris";"EUR";"39.25";"39.25";"36.45";"37.55";"22/01/2019 17:39";"CET";"15357";"580028.05"
"XIOR";"BE0974288202";"XIOR";"Euronext Brussels";"EUR";"39.20";"39.70";"39.00";"39.00";"22/01/2019 17:35";"CET";"6801";"267584.50"
"XPO LOGISTICS";"FR0000052870";"XPO";"Euronext Paris";"EUR";"310.00";"310.00";"306.00";"308.00";"22/01/2019 17:35";"CET";"74";"22800.00"
"YATRA";"JE00B1FBT077";"YATRA";"Euronext Amsterdam";"EUR";"3.52";"3.52";"3.52";"3.52";"16/01/2019 16:04";"CET";"200";"704.00"
"YMAGIS";"FR0011471291";"MAGIS";"Euronext Paris";"EUR";"2.08";"2.09";"2.01";"2.02";"22/01/2019 17:35";"CET";"30719";"62888.67"
"ZCCM";"ZM0000000037";"MLZAM";"Euronext Access Paris";"EUR";"0.93";"0.93";"0.93";"0.93";"22/01/2019 16:30";"CET";"3";"2.79"
"ZCI LIMITED";"BMG9887P1068";"CV";"Euronext Paris";"EUR";"0.17";"0.20";"0.17";"0.20";"04/08/2015 16:20";"CET";"21826";"3755.94"
"ZENITEL";"BE0974311434";"ZENT";"Euronext Brussels";"EUR";"13.70";"13.70";"13.70";"13.70";"22/01/2019 16:36";"CET";"1870";"25619.00"
"ZENOBE GRAMME CERT";"BE0003809267";"ZEN";"Euronext Brussels";"EUR";"154.00";"154.00";"154.00";"154.00";"14/01/2019 16:30";"CET";"10";"1540.00"
